YEAR;MONTH;DAY;AIRLINE;ORIGIN_AIRPORT;DESTINATION_AIRPORT;DEPARTURE_DELAY;ARRIVAL_DELAY;CANCELLED
2015;1;1;B6;SJU;JFK;27.0;59.0;0.0
2015;1;1;B6;BOS;DCA;-8.0;-23.0;0.0
2015;1;1;EV;TYS;DFW;-1.0;10.0;0.0
2015;1;1;EV;MHT;ORD;-5.0;-4.0;0.0
2015;1;1;EV;SAV;EWR;86.0;85.0;0.0
2015;1;1;EV;MEM;EWR;-8.0;-20.0;0.0
2015;1;1;EV;CLT;ORD;-1.0;18.0;0.0
2015;1;1;EV;TYS;IAD;-7.0;-2.0;0.0
2015;1;1;EV;GRB;ORD;-4.0;-10.0;0.0
2015;1;1;EV;ABE;DTW;-8.0;-20.0;0.0
2015;1;1;EV;JAN;ATL;-1.0;-10.0;0.0
2015;1;1;EV;OAJ;ATL;-8.0;-3.0;0.0
2015;1;1;EV;FAR;ORD;3.0;0.0;0.0
2015;1;1;EV;JAN;ORD;-4.0;-19.0;0.0
2015;1;1;EV;ERI;ORD;16.0;19.0;0.0
2015;1;1;EV;ATW;ORD;0.0;0.0;0.0
2015;1;1;EV;LEX;ORD;-4.0;-11.0;0.0
2015;1;1;EV;CWA;ORD;-10.0;-3.0;0.0
2015;1;1;F9;CLE;FLL;-4.0;-22.0;0.0
2015;1;1;F9;IAH;SFO;-8.0;-6.0;0.0
2015;1;1;F9;SEA;DEN;5.0;0.0;0.0
2015;1;1;F9;SFO;IAH;-8.0;1.0;0.0
2015;1;1;F9;TTN;ATL;-3.0;-11.0;0.0
2015;1;1;F9;ATL;TTN;19.0;24.0;0.0
2015;1;1;HA;HNL;ITO;-7.0;-4.0;0.0
2015;1;1;MQ;RDU;JFK;-5.0;3.0;0.0
2015;1;1;MQ;CVG;MIA;-4.0;-7.0;0.0
2015;1;1;MQ;PNS;MIA;-5.0;-12.0;0.0
2015;1;1;MQ;BHM;MIA;0.0;-5.0;0.0
2015;1;1;NK;OAK;LAS;-9.0;-8.0;0.0
2015;1;1;NK;DFW;OAK;0.0;-29.0;0.0
2015;1;1;NK;ACY;RSW;102.0;86.0;0.0
2015;1;1;NK;DTW;LGA;-2.0;58.0;0.0
2015;1;1;NK;DFW;FLL;3.0;35.0;0.0
2015;1;1;OO;SMF;LAX;-9.0;-2.0;0.0
2015;1;1;OO;RAP;DEN;0.0;8.0;0.0
2015;1;1;OO;TUS;SFO;4.0;6.0;0.0
2015;1;1;OO;EAU;ORD;-8.0;-29.0;0.0
2015;1;1;OO;DLH;ORD;-4.0;-4.0;0.0
2015;1;1;OO;FSD;ORD;-3.0;2.0;0.0
2015;1;1;OO;AUS;SFO;-4.0;-16.0;0.0
2015;1;1;OO;FAT;SEA;-3.0;3.0;0.0
2015;1;1;OO;ONT;PDX;-10.0;-19.0;0.0
2015;1;1;OO;INL;BRD;-10.0;-3.0;0.0
2015;1;1;OO;BOI;LAX;39.0;30.0;0.0
2015;1;1;OO;SPI;ORD;4.0;5.0;0.0
2015;1;1;OO;CLD;LAX;54.0;88.0;0.0
2015;1;1;OO;COD;DEN;-1.0;-1.0;0.0
2015;1;1;OO;FAT;SFO;0.0;7.0;0.0
2015;1;1;MQ;CMH;MIA;-5.0;-11.0;0.0
2015;1;1;OO;PSC;DEN;1.0;4.0;0.0
2015;1;1;OO;CPR;DEN;4.0;9.0;0.0
2015;1;1;OO;ACV;SFO;-10.0;10.0;0.0
2015;1;1;OO;DAL;IAH;22.0;12.0;0.0
2015;1;1;OO;PAH;ORD;-9.0;-23.0;0.0
2015;1;1;OO;PSC;SFO;-4.0;-1.0;0.0
2015;1;1;OO;CID;ORD;10.0;-1.0;0.0
2015;1;1;OO;EUG;SFO;-3.0;-7.0;0.0
2015;1;1;OO;DFW;DEN;-4.0;9.0;0.0
2015;1;1;OO;MRY;SFO;-5.0;-12.0;0.0
2015;1;1;OO;SLC;LAX;4.0;-6.0;0.0
2015;1;1;OO;ESC;DTW;-2.0;-21.0;0.0
2015;1;1;OO;MFR;SFO;-3.0;-6.0;0.0
2015;1;1;OO;FAT;DEN;-1.0;33.0;0.0
2015;1;1;UA;SFO;EWR;-9.0;-23.0;0.0
2015;1;1;UA;LAS;IAH;0.0;-7.0;0.0
2015;1;1;UA;EWR;SFO;1.0;-20.0;0.0
2015;1;1;EV;ISN;DEN;-2.0;-9.0;0.0
2015;1;1;HA;HNL;LIH;-4.0;-2.0;0.0
2015;1;1;OO;PSP;SFO;31.0;17.0;0.0
2015;1;1;OO;PSP;DEN;131.0;144.0;0.0
2015;1;1;UA;SAT;IAH;8.0;0.0;0.0
2015;1;1;UA;LAX;EWR;0.0;-32.0;0.0
2015;1;1;UA;LAX;SFO;-2.0;-14.0;0.0
2015;1;1;EV;CLE;IAD;-5.0;-1.0;0.0
2015;1;1;EV;CAE;IAD;2.0;7.0;0.0
2015;1;1;F9;PHX;DEN;0.0;4.0;0.0
2015;1;1;UA;SMF;IAH;8.0;19.0;0.0
2015;1;1;UA;JFK;SFO;0.0;-4.0;0.0
2015;1;1;US;BOS;PHX;9.0;13.0;0.0
2015;1;1;US;BOS;CLT;-4.0;-3.0;0.0
2015;1;1;US;DTW;MIA;-4.0;-26.0;0.0
2015;1;1;UA;FLL;EWR;-5.0;-10.0;0.0
2015;1;1;WN;GEG;DEN;-1.0;-9.0;0.0
2015;1;1;WN;SAT;STL;-6.0;-22.0;0.0
2015;1;1;WN;ONT;DEN;4.0;0.0;0.0
2015;1;1;UA;CLE;EWR;-3.0;-21.0;0.0
2015;1;1;US;DFW;PHX;7.0;8.0;0.0
2015;1;1;AA;STL;DFW;-8.0;-17.0;0.0
2015;1;1;AA;SJU;MIA;-8.0;11.0;0.0
2015;1;1;AA;MKE;DFW;0.0;-11.0;0.0
2015;1;1;AS;SEA;SFO;-3.0;-3.0;0.0
2015;1;1;AS;SEA;LAS;-3.0;0.0;0.0
2015;1;1;B6;BTV;JFK;-12.0;-16.0;0.0
2015;1;1;B6;JFK;FLL;-2.0;-2.0;0.0
2015;1;1;B6;SFO;LGB;-8.0;-14.0;0.0
2015;1;1;B6;PBI;BOS;16.0;28.0;0.0
2015;1;1;B6;MCO;JFK;-5.0;10.0;0.0
2015;1;1;B6;SJU;MCO;93.0;88.0;0.0
2015;1;1;DL;BDL;ATL;-4.0;-26.0;0.0
2015;1;1;DL;RDU;ATL;56.0;39.0;0.0
2015;1;1;DL;SFO;SLC;-1.0;-2.0;0.0
